School,Total Allocation,Minimum Allocation to be Awarded for Emergency Financial-Aid Grants to Students
Southwest Tennessee Community College,7298437,3649219
University Of San Francisco,7293888,3646944
Butte College,7281962,3640981
"Cuny, Hostos Community College",7267430,3633715
Suny College At Oswego,7244716,3622358
De Anza Community College,7235258,3617629
Tennessee State University,7214661,3607331
Cuny York College,7205414,3602707
Suny Westchester Community College,7195672,3597836
Texas A&M University - Commerce,7193156,3596578
Midwest Technical Institute,7164512,3582256
Nova Southeastern University,7157194,3578597
Cypress College,7147934,3573967
Grossmont College,7141562,3570781
Cuny Medgar Evers College,7109437,3554719
Inter American University Of Puerto Rico - Arecibo Campus,7100104,3550052
Arkansas Tech University,7098986,3549493
Idaho State University,7097839,3548920
Louisiana Tech University,7094887,3547444
University Of Wisconsin - Eau Claire,7091955,3545978
Texas A&M University - Kingsville,7087427,3543714
Colorado Mesa University,7068379,3534190
University Of Missouri - Kansas City,7062723,3531362
College Of The Desert,7061346,3530673
University Of Vermont And State Agricultural College,7055880,3527940
Lamar University,7048774,3524387
Mercy College,7046720,3523360
Front Range Community College,7046470,3523235
Fashion Institute Of Technology,7035399,3517700
Grambling State University,7010388,3505194
City College Of San Francisco,7009874,3504937
Long Island University,7007826,3503913
University Of Puerto Rico Bayamon Technical University College,6991670,3495835
University Of Michigan - Dearborn,6989129,3494565
University Of Tampa (The),6941444,3470722
Northwest Vista College,6926619,3463310
Saginaw Valley State University,6911064,3455532
University Of Central Missouri,6908319,3454160
University Of Idaho,6905295,3452648
Norfolk State University,6901715,3450858
Virginia State University,6855810,3427905
Yale University,6851139,3425570
Embry-Riddle Aeronautical University,6845716,3422858
College Of Health Care Professions (The),6835962,3417981
Southeast Missouri State University,6830214,3415107
Charter College,6816451,3408226
Grand Rapids Community College,6806171,3403086
University Of West Florida (The),6801388,3400694
University Of Wisconsin - Lacrosse,6789642,3394821
San Bernardino Valley College,6732563,3366282
Duke University,6714022,3357011
Lindenwood University,6706309,3353155
Diablo Valley College,6679277,3339639
Greenville Technical College,6663667,3331834
Bethune Cookman University,6648501,3324251
Marquette University,6646735,3323368
University Of Wyoming,6613580,3306790
Bowie State University,6596246,3298123
University Of Phoenix,6589433,3294717
Pasco - Hernando State College,6574907,3287454
Trident Technical College,6568275,3284138
