School,Total Allocation,Minimum Allocation to be Awarded for Emergency Financial-Aid Grants to Students
Asm Beauty World Academy,153271,76636
Yeshiva Sholom Shachna,153086,76543
Criswell College,152588,76294
Montana Academy Of Salons,152333,76167
Hair Professionals School Of Cosmetology,152298,76149
American Baptist Theological Seminary,152145,76073
Salon Professional Academy (The),152081,76041
American Massage & Bodywork Institute,151958,75979
Elim Bible Institute And College,151944,75972
Arlington Baptist University,151631,75816
Fort Peck Community College,151493,75747
Red Lake Nation College,151473,75737
Charleston School Of Beauty Culture,151472,75736
Arthur'S Beauty College,151409,75705
Vermont Law School,151393,75697
Bold Beauty Academy,151384,75692
"Guy'S Academy Hair, Skin & Nails",151266,75633
Phillips School Of Nursing At Mount Sinai Beth Israel,151193,75597
Broken Arrow Beauty College,150425,75213
Delaware County Technical School,150255,75128
Vogue College Of Cosmetology,150129,75065
Jolie Hair And Beauty Academy,150088,75044
Diamonds Cosmetology College,149983,74992
International College Of Broadcasting,149705,74853
Design Institute Of San Diego,149639,74820
Paul Mitchell The School Miami,149326,74663
Salon Professional Academy Of Kenosha (The),149246,74623
Empire Beauty Schools,149165,74583
Island Drafting & Technical Institute,149013,74507
New England Law | Boston,148978,74489
Salon & Spa Institute,148644,74322
Garnet Career Center,148515,74258
Renaissance Academie,148303,74152
Ecclesia College,148173,74087
Toni & Guy Hairdressing Academy,147974,73987
Citrus Heights Beauty College,147682,73841
Morehouse School Of Medicine,147523,73762
Washington County Career Center Adult Education,146812,73406
Keune Academy By 124,146504,73252
Victoria'S Academy Of Cosmetology,146462,73231
Pci College,146325,73163
Millennium Training Institute,145817,72909
Marshall B. Ketchum University,145778,72889
Wright Institute (The),145487,72744
Salon Professional Academy (The),145367,72684
Lyle'S College Of Beauty,145271,72636
Pontotoc Technology Center District #14,145011,72506
Artistic Academy Of Hair Design (The),144984,72492
Future-Tech Institute,144916,72458
First Class Cosmetology School,144868,72434
Little Priest Tribal College,144184,72092
Oklahoma State University Center For Health Sciences,144134,72067
Modern Welding School,143813,71907
Princeton Theological Seminary,143741,71871
Arrojo Cosmetology School,143683,71842
Bj'S Beauty & Barber College,143520,71760
Edumed Partners,143284,71642
Southwestern Christian College,143039,71520
Wesley Theological Seminary,142919,71460
Salon Professional Academy (The),142706,71353
New York Institute Of Beauty,142667,71334
Central Technology Center School District No. 3,142537,71269
Great Lakes Truck Driving School,142439,71220
Jrmc School Of Nursing,142391,71196
Vermont College Of Fine Arts,142286,71143
Dawson Community College,142151,71076
Chrysm Institute Of Esthetics (The),142024,71012
Cuny School Of Law '(The)',141995,70998
Western Pennsylvania Hospital School Of Nursing,141885,70943
New Horizons Medical Institute,141871,70936
Paul Mitchell The School - Jersey Shore,141637,70819
Ricci'S Toni & Guy Hairdressing Academy/ Tigi Creative School,141397,70699
Bon Secours Memorial College Of Nursing,141069,70535
Loraines Academy & Spa,141007,70504
Traxler'S School Of Hair,140747,70374
Lakeview College Of Nursing,140717,70359
Summit Salon Academy - Gainesville,140570,70285
Academy Of Interactive Entertainment,140430,70215
"North Coast College, The",140180,70090
University Of The West,140086,70043
Yeshivas Be'Er Yitzchok,139993,69997
Yeshiva Of The Telshe Alumni,139972,69986
Neecee'S Barber College,139821,69911
Universal Therapeutic Massage Institute,139681,69841
Westchester School For Dental Assistants,139681,69841
Vibe Barber College,139552,69776
San Ignacio University,139442,69721
Somerset County Technology Center,139358,69679
Premier Barber Institute,139299,69650
Southern States University,139085,69543
Douglas J Aveda Institute-Chicago,138888,69444
Northwest College Of Art & Design,138482,69241
James Rumsey Technical Institute,138292,69146
Parisian Spa Institute,138096,69048
Florida Academy Of Health & Beauty,137965,68983
Designer Barber & Stylist School,137801,68901
Denver Seminary,137773,68887
Southwest Technical College,137095,68548
Southside College Of Health Sciences,137088,68544
St. Luke'S College,136761,68381
Networks Barber College,136724,68362
Sherman College Of Straight Chiropractic,136466,68233
Saint Elizabeth School Of Nursing,136328,68164
Ucas University Of Cosmetology Arts & Sciences,136263,68132
Yeshiva Shaarei Torah Of Rockland,136261,68131
Estelle International,136220,68110
Healing Arts Center,136151,68076
Hands On Therapy,135777,67889
Davis College,135671,67836
Amberton University,135514,67757
Medical Institute Of Palm Beach,135341,67671
Marlboro College,135285,67643
Mid-Del Technology Center,135205,67603
Johnny Matthew'S Hairdressing Training School,135109,67555
John Jay Beauty College,135023,67512
Garden State Science And Technology Institute,134873,67437
North Florida Technical College,134851,67426
Cincinnati College Of Mortuary Science,134679,67340
Salon Professional Academy (The),134350,67175
Advance Beauty Techs Academy,134174,67087
Venango County Area Vocational Technical School,134117,67059
Abc Adult School,133978,66989
Industrial Management & Training Institute,133714,66857
Beth Hamedrash Shaarei Yosher Institute,133173,66587
Eastland-Fairfield Career And Technical Schools,133125,66563
Fab School (The),132973,66487
Avalon School Of Cosmetology,132880,66440
Pennsylvania Gunsmith School,132479,66240
Metro Beauty Academy,132460,66230
Michael'S School Of Hair Design & Esthetics Paul Mitchell Partner Scho,132378,66189
Zms The Academy,132113,66057
Eq School Of Hair Design,132044,66022
Southeast Missouri Hospital College Of Nursing And Health Sciences,131509,65755
Indiana County Technology Center,131498,65749
Healing Mountain Massage School,131175,65588
More Tech Institute,130953,65477
Flair Beauty College,130763,65382
Atlantic Institute Of Oriental Medicine,130647,65324
Coba Academy,130645,65323
Stylemasters College Of Hair Design,130349,65175
Boise Bible College,130055,65028
Sterling College,129712,64856
Center For Ultrasound Research & Education,129533,64767
College Of International Esthetics,129153,64577
Technical College Of The Rockies,128974,64487
Salon Professional Academy (The),128759,64380
Yeshiva Derech Chaim,128724,64362
Cosmetology Training Center,128629,64315
Ivaem College,127721,63861
Trinity College Of Nursing & Health Sciences,127554,63777
New Hope Christian College,127250,63625
Jay'S Technical Institute,126939,63470
Coalition Of African American Nurses,125975,62988
Mitchell'S Academy,125900,62950
Summit Salon Academy - Portland,125842,62921
Design'S School Of Cosmetology,125204,62602
Oswego County Boces,125152,62576
G.A. Beauty & Barber School,124879,62440
Skin Institute,124835,62418
Boise Barber College A D.Martin Academy,124720,62360
Ashtabula County Technical And Career Campus,124546,62273
Orion Institute,124387,62194
Trenz Beauty Academy,124177,62089
Bais Hamedrash And Mesivta Of Baltimore,124132,62066
Auburn Career Center,124034,62017
Bank Street College Of Education,124021,62011
Western Area Career & Technology Center,123771,61886
Salon Professional Academy (The),123699,61850
Pb Cosmetology Education Centre,122908,61454
Hoss Lee Academy,122657,61329
Academy For Salon Professionals,122587,61294
Atlanta'S John Marshall Law School,122500,61250
Talmudical Academy,122458,61229
Laredo Chi Academy Beauty School,122419,61210
Baptist University Of The Americas,122224,61112
College Of Cosmetology,122071,61036
American Academy Of Cosmetology,122040,61020
Fred W. Eberle Technical Center,121970,60985
Summit Salon Academy Kokomo,121654,60827
Columbia College Of Nursing,121544,60772
Aspen Beauty Academy - Laurel,121302,60651
Southeastern Esthetics Institute,121278,60639
International Diving Institute,121044,60522
Gary Manuel Aveda Institute,121011,60506
La' James College Of Hairstyling,120456,60228
Pacific Islands University,120440,60220
Upper Cape Cod Regional Technical School,120421,60211
Academy Of Hair Design #4,120390,60195
Wayne County Schools Career Center,120311,60156
Five Branches University,120172,60086
Carolina College Of Biblical Studies,119702,59851
Moler - Pickens Beauty College,119658,59829
Paul Mitchell The School Merrillville,119533,59767
Worsham College Of Mortuary Science,119293,59647
North Bennet Street School,119089,59545
Spa School (The),118984,59492
Suny College Of Optometry,118717,59359
Jewish Theological Seminary Of America (The),118674,59337
Stellar Career College,118426,59213
Jna Institute Of Culinary Arts,118411,59206
Central Career School,118376,59188
Buckeye Career Center,118342,59171
Panache Academy Of Beauty,118221,59111
Christine Valmy International School Of Esthetics & Cosmetology,118012,59006
Hillyard Technical Center,117910,58955
Albany Law School Of Union University,117773,58887
Mifflin County Academy Of Science And Technology,117767,58884
Shear Ego International School Of Hair Design,117714,58857
Ohio State School Of Cosmetology,117582,58791
Herkimer County  Boces Practical Nursing Program,117344,58672
Kansas Christian College,117258,58629
New York School Of Interior Design,117250,58625
Ann Webb Skin Institute,117072,58536
Bos-Man'S Barber College,117057,58529
Jb'S Hair Design And Barber College,116861,58431
Debutantes School Of Cosmetology And Nail Technology,116746,58373
Thomas Jefferson School Of Law,116684,58342
Butler Beauty Academy,116401,58201
Elite Welding Academy,115917,57959
Tooele Technical College,115803,57902
Institute For Therapeutic Massage,115588,57794
"Mr. John'S School Of Cosmetology, Esthetics & Nails",115442,57721
Yeshiva Gedolah Kesser Torah,115347,57674
New York College Of Podiatric Medicine,115225,57613
Salon Professional Academy (The),114999,57500
Southwest College Of Naturopathic Medicine & Health Sciences,114934,57467
Carolina Christian College,114861,57431
Beyond 21St Century Beauty Academy,114734,57367
Eastern Oklahoma County Technology Center School District #23,114478,57239
Aaniiih Nakoda College,114359,57180
Salon Professional Academy (The),114277,57139
American College Of Barbering,114269,57135
Goshen School Of Cosmetology,114257,57129
Bell Mar Beauty College,113974,56987
Community Christian College,113974,56987
Blades School Of Hair Design,113715,56858
Grand River Technical School,113559,56780
Southwest Technology Center School District # 27,113543,56772
Orleans Niagara Boces,113519,56760
Center For Natural Wellness School Of Massage Therapy,113394,56697
Barber Institute Of Texas,113248,56624
Creative Circus (The),113193,56597
College Of Hair Design Careers,112927,56464
Yeshiva Chemdas Hatorah,112892,56446
Shasta School Of Cosmetology,112740,56370
Hairmasters Institute Of Cosmetology,112704,56352
Westchester School Of Beauty Culture,112451,56226
Trumbull Career And Technical Center-Adult Training Center,112359,56180
Central College Of Cosmetology,112354,56177
"Watkins College Of Art, Design & Film",112124,56062
Digrigoli School Of Cosmetology,111760,55880
Detroit Business Institute - Downriver,111552,55776
Oak Hills Christian College,111319,55660
Cameo Beauty Academy,111227,55614
American Jewish University,111218,55609
Levittown Beauty Academy,111172,55586
Talmudical Yeshiva Of Philadelphia,111069,55535
Hellenic College & Holy Cross Greek Orthodox School Of Theology,111043,55522
Lake Region State College,110878,55439
Massachusetts School Of Law At Andover,110861,55431
California Miramar University,110771,55386
Samaritan Hospital School Of Nursing,110633,55317
Capri Institute Of Hair Design,110520,55260
Cr'U Institute Of Cosmetology And Barbering,110487,55244
Henrico County-Saint Mary'S Hospital School Of Practical Nursing,110429,55215
Cde Career Institute,110238,55119
Cozmo Beauty School,110109,55055
Madison Adult Career Center,110102,55051
Paramount Beauty Academy,109818,54909
Charles & Sue'S School Of Hair Design,109527,54764
Grace International Beauty School,109223,54612
Beth Medrash Of Asbury Park,109145,54573
Northern Institute Of Cosmetology,108952,54476
Schuyler Steuben Chemung Tioga Allegany Boces,108927,54464
Charzanne Beauty College,108888,54444
Del-Mar-Va Beauty Academy,108845,54423
Model College Of Hair Design,108435,54218
Sandra Academy Of Salon Services,108427,54214
Alliance Career Center,108179,54090
Studio Beauty School,108031,54016
Warren County Career Center,107854,53927
Arizona Academy Of Beauty,107836,53918
Hebrew Theological College,107582,53791
Pj'S College Of Cosmetology,107097,53549
Iowa School Of Beauty,106994,53497
Long Island Nail Skin & Hair Institute,106834,53417
Ucas University Of Cosmetology Arts & Sciences,106620,53310
Schuylkill Technology Centers,106526,53263
Portage Lakes Career Center,106470,53235
Putnam Career & Technical Center,106383,53192
National Beauty College,106210,53105
Fayette Institute Of Technology,106163,53082
O'Briens Aveda Institute,106040,53020
Lawrence & Company College Of Cosmetology,106027,53014
Cosmo Beauty Academy,105841,52921
Michael K. Galvin Beauty & Business Academy,105677,52839
Mercer County Technical Education Center,105541,52771
Phagans' Central Oregon Beauty College,105390,52695
Joe Kubert School Of Cartoon & Graphic Art (The),105343,52672
Jefferson Lewis Boces Program Of Practical Nursing,105234,52617
White Earth Tribal And Community College,105200,52600
Blue Cliff Career College,105082,52541
Gerber Akron Beauty School,104975,52488
Elite School Of Cosmetology,104805,52403
Rockland County Boces Adult Education,104744,52372
J. Michael Harrold Beauty Academy,104382,52191
American Advanced Technicians Institute,104373,52187
Flint Institute Of Barbering,104198,52099
Hebrew Union College - Jewish Institute Of Religion,104168,52084
Nuvani Institute,104127,52064
Independent Training & Apprenticeship Program,104035,52018
Princess Institute Of Beauty,103999,52000
Pinnacle Institute Of Cosmetology,103889,51945
Louisiana Culinary Institute,103694,51847
Magdalen College,103591,51796
Kc'S School Of Hair Design,103552,51776
Evergreen Beauty And Barber College,103456,51728
Hinton Barber And Beauty College,103446,51723
Chief Dull Knife College,103368,51684
Academy Of Cosmetology & Esthetics Nyc (The),102983,51492
Allstate Hairstyling & Barber College,102790,51395
Missouri College Of Cosmetology North,102704,51352
Thomas More College Of Liberal Arts,102524,51262
Academy Of Hair Design #6,102117,51059
Natural Images Beauty College,102034,51017
Seattle Film Institute,101834,50917
Ohio Institute Of Allied Health,101503,50752
Cloyd'S Beauty School #3,101047,50524
St. John'S College,100955,50478
Infinity College,100915,50458
J'S Barber College,100902,50451
Summit Salon Academy,100760,50380
Yeshiva Gedolah Of Greater Detroit,100742,50371
Interior Designers Institute,100622,50311
Palladium Technical Academy,100425,50213
Dayton Barber College,100249,50125
Union County Vocational Technical Schools,100104,50052
Oregon College Of Oriental Medicine,100095,50048
Western Seminary,100084,50042
Davis College,99923,49962
Trinity Health System School Of Nursing,99922,49961
Estes Institute Of Cosmetology Arts & Sciences,99744,49872
Clarksburg Beauty Academy & School Of Massage Therapy,99727,49864
New Tyler Barber College,99723,49862
United Beauty College,99695,49848
Shepherds College,99604,49802
Barber School Of Pittsburgh,99473,49737
Shawnee Beauty College,99268,49634
Salon Boutique Academy,98873,49437
Aveda Institute Boise,98861,49431
Aviator College Of Aeronautical Science & Technology,98828,49414
California College Of Barbering And Cosmetology,98672,49336
Nashville Film Institute,98653,49327
American Film Institute Conservatory,98640,49320
My Beauty & Barber College,98476,49238
Saint Joseph Seminary College,98377,49189
Alexander Academy,98351,49176
Stevenson Academy Of Hair Design,98324,49162
Beau Monde Academy Of Cosmetology,98322,49161
New England Culinary Institute,98063,49032
Cosmetology School Of Arts And Sciences,97960,48980
Divers Academy Of The Eastern Seaboard,97783,48892
Elevate Salon Institute,97669,48835
Celebrity Stylist Beauty School,97628,48814
Manuel & Theresa'S School Of Hair Design,97462,48731
Orange Ulster Boces School Of Practical Nursing,97357,48679
Sarasota School Of Massage Therapy,97165,48583
Denham Springs Beauty College,97153,48577
Summit Salon Academy Kansas City,97014,48507
Beis Medrash Heichal Dovid,96883,48442
"Thanh Le College, School Of Cosmetology",96857,48429
South Florida Bible College And Theological Seminary,96848,48424
Benjamin Franklin Career & Technical  Center,96740,48370
Westminster Theological Seminary,96630,48315
Mississippi College Of Beauty Culture,96624,48312
Carthage R-9 School District/Carthage Technical Center,96621,48311
Florida Coastal School Of Law,96603,48302
Huntsville Bible College,96521,48261
D'Jay'S Institute Of Cosmetology And Esthiology,96315,48158
Mitsu Sato Hair Academy,96274,48137
San Bernardino Beauty College,96223,48112
Elite College Of Cosmetology,96164,48082
Capri Institute Of Hair Design,96142,48071
"Mississippi Institute Of Aesthetics, Nails, & Cosmetology",96122,48061
St. Joseph Hospital Of Nashua N.H.D/B/A St. Joseph School Of Nursing,96027,48014
Florida School Of Massage,96011,48006
Hamrick School,95932,47966
Collectiv Hair Dressing Academy,95923,47962
"Joffrey Ballet School, American Ballet Center",95735,47868
Trendsetters Of Fl. School Of Beauty & Barbering,95086,47543
Iglobal University,95038,47519
Educators Of Beauty College Of Cosmetology,94989,47495
Capri Institute Of Hair Design,94976,47488
Montefiore School Of Nursing,94873,47437
Hair Professionals Career College,94467,47234
Appalachian Beauty School,94425,47213
Park Place Premier Barber School,94356,47178
University Of East-West Medicine,94275,47138
Turning Point Beauty College,94238,47119
Paul Mitchell The School - Madison,94232,47116
Myotherapy College Of Utah,94214,47107
Broome Delaware Tioga Boces Program Of Practical Nursing,94163,47082
Greater Lowell Regional Vocational Technical School,94030,47015
Cannella School Of Hair Design,93948,46974
Epic Bible College,93800,46900
Meredith Manor International Equestrian Centre,93719,46860
Monongalia County Technical Education Center (Mtec),93681,46841
Piberry Institute,93447,46724
New York Institute Of Massage,93376,46688
American Academy Mcallister Institute,93366,46683
Cincinnati School Of Barbering & Hair Design,93183,46592
Southern Westchester Boces,92799,46400
Acaydia Spa And School Of Aesthetics,92748,46374
Brighton Center'S Center For Employment Training,92638,46319
"Monroe 2 - Orleans Boces, Center For Workforce Development",92085,46043
English Center (The),91968,45984
Maryland University Of Integrative Health,91890,45945
Mechon L'Hoyroa,91885,45943
Harmony Health Care Institute,91855,45928
Paul Mitchell The School - Lincoln,91829,45915
Research Medical Center,91737,45869
International Barber College,91467,45734
St Margaret Memorial Hospital School Of Nursing,91302,45651
Hvac Technical Institute,90904,45452
Grady Health System,90793,45397
Academy Of Hair Design (The),90375,45188
Merrell University Of Beauty Arts & Science,90177,45089
Salon Professional Academy (The),90139,45070
Venus Beauty Academy,89682,44841
Madison Oneida Boces Practical Nursing Program,89648,44824
"John Paolo'S Xtreme Beauty Institute, Goldwell Products Artistry",89593,44797
Franklin County Career And Technology Center,89503,44752
American Institute Of Massage Therapy,89422,44711
J D Academy Of Salon And Spa,89296,44648
Midway Paris Beauty School,89208,44604
Mr. Leon'S School Of Hair Design,89201,44601
Pineville Beauty School,89065,44533
Long Island Beauty School,88800,44400
Integrity College Of Health,88763,44382
Elevate Salon Institute,88720,44360
Covenant Theological Seminary,88666,44333
Hogan Institute Of Cosmetology And Esthetics,88626,44313
Hope College Of Arts And Sciences,88555,44278
Academy Of Interactive Entertainment,88545,44273
Cardiac And Vascular Institute Of Ultrasound,88302,44151
Delta Designs Cosmetology School,88170,44085
Strand College Of Hair Design,87957,43979
Clearfield County Career And Technology Center,87950,43975
Touro University Worldwide,87768,43884
South Texas Barber College,87713,43857
South Hills Beauty Academy,87671,43836
Centerpoint Massage & Shiatsu Therapy School & Clinic,87374,43687
Interamerican Technical Institute,87212,43606
Inner State Beauty School,87203,43602
Regan Career Institute,87162,43581
Wes Watkins Technology Center School District #25,87161,43581
Eclips School Of Cosmetology And Barbering,87102,43551
Champion Christian College,87078,43539
Alexander Paul Institute Of Hair Design,86901,43451
Yeshiva Gedolah Tiferes Boruch,86883,43442
Phagans' Grants Pass College Of Beauty,86854,43427
Cochran School Of Nursing Saint John'S Riverside Hosp,86672,43336
Telshe Yeshiva-Chicago,86628,43314
Curtis Institute Of Music,86460,43230
Cannella School Of Hair Design,86227,43114
Mountain State College,86177,43089
Cutting Edge Academy,85930,42965
"Northwest Technology Center, School District 10",85786,42893
Salon Professional Academy (The),85687,42844
Academy College,85565,42783
Yeshiva Gedolah Shaarei Shmuel,85372,42686
Academy Of Hair Technology,85165,42583
Image Maker Beauty Institute,85137,42569
Blue Hills Regional Technical School,84964,42482
Exposito School Of Hair Design,84964,42482
Salem College Of Hairstyling,84962,42481
Dci Career Institute,84945,42473
Academy Of Salon Professionals,84787,42394
Seacoast Career Schools,84741,42371
New York College Of Traditional Chinese Medicine,84673,42337
St. Peter'S Hospital College Of Nursing,84543,42272
Dolce Llc The Academy,84286,42143
Professional Golfers Career College,84229,42115
Allegheny Wesleyan College,83992,41996
First Coast Barber Academy,83945,41973
Saginaw Chippewa Tribal College,83912,41956
Nueta Hidatsa Sahnish College,83694,41847
Culpeper Cosmetology Training Center,83682,41841
Rosel School Of Cosmetology,83474,41737
South Dade Technical College-South Dade Skills Center Campus,83362,41681
Ati College,83260,41630
Phagans' Beauty College,83228,41614
Louisiana Academy Of Beauty,83167,41584
Evans Hairstyling College Of Cedar City,83133,41567
Winonah'S International School Of Cosmetology,82925,41463
Clinton-Essex-Warren-Washington Boces,82722,41361
Barber Tech Academy,82720,41360
Fredrick And Charles Beauty College,82451,41226
Colleen O'Hara'S Beauty Academy,82427,41214
Joseph F. Mccloskey School Of Nursing At Schuylkill Health,82249,41125
Dalton Institute Of Esthetics And Cosmetology,82217,41109
Beaver Falls Beauty Academy,82135,41068
Assabet Valley Regional Vocational School,82100,41050
All Beauty College,82062,41031
Emperor'S College Of Traditional Oriental Medicine,82054,41027
Academy Of Salon And Spa,81774,40887
"Aesthetic Science Institute, Llc (The)",81723,40862
Hot Springs Beauty College,81480,40740
Diman Regional Vocational Technical Institute,81241,40621
Astrodome Career Centers,81224,40612
Atlantis University,80885,40443
United Theological Seminary,80709,40355
Midwest College Of Oriental Medicine,80513,40257
Victoria Beauty College,79984,39992
Theatre Of Arts,79898,39949
Arnot Ogden Medical Center,79464,39732
Elyon College,79445,39723
Virginia University Of Integrative Medicine,79436,39718
Bk Cosmo College Of Cosmetology,79091,39546
Moler Hollywood Beauty Academy,79077,39539
Academy Of Esthetics And Cosmetology,79073,39537
Paier College Of Art,78906,39453
"Ellis Medicine, The Belanger School Of Nursing",78739,39370
Paul Mitchell The School Portsmouth,78689,39345
Opelousas School Of Cosmetology,78578,39289
Western Michigan University Homer Stryker M.D. School Of Medicine,78563,39282
Rexburg College Of Massage Therapy,78561,39281
Advance Science International College,78324,39162
Fairfax University Of America,78295,39148
Fine Mortuary College,78045,39023
Alabama School Of Nail Technology & Cosmetology,77735,38868
Esthetic Institute (The),77722,38861
Nebraska Indian Community College,77576,38788
Focus Personal Training Institute,77434,38717
Texas Chiropractic College,77399,38700
Pj'S College Of Cosmetology,77190,38595
Butte Academy Of Beauty Culture,77189,38595
Ulster County Boces School Of Practical Nursing,76934,38467
Ashland County - West Holmes Career Center - Adult Education,76818,38409
Indiana College Of Sports & Medical Massage,76551,38276
Ailey School (The),76403,38202
Royale College Of Beauty And Barbering,76241,38121
Universal College Of Beauty,76226,38113
Bergen County Technical Schools,76107,38054
Jenny Lea Academy Of Cosmetology,76044,38022
Hobe Sound Bible College,75745,37873
Washington Hospital (The),75704,37852
Sotheby'S Institute Of Art - Ny,75653,37827
Construction Training Center,75525,37763
Bayshire Beauty Academy,75520,37760
Clinton Technical School,75280,37640
Abc Beauty Academy,75257,37629
Shear Finesse Beauty Academy,75116,37558
Skinworks School Of Advanced Skincare,74698,37349
Ave Maria School Of Law,74489,37245
Career School Of Ny,74214,37107
Sacred Heart Major Seminary,74193,37097
Seguin Beauty School,74070,37035
Vogue College Of Cosmetology,74042,37021
Charles Of Italy Beauty College,74036,37018
Luther Seminary,74012,37006
Ralph R Willis Career And Technical Center,73861,36931
Southeastern Baptist College,73845,36923
Yeshiva Yesodei Hatorah,73641,36821
Upper Valley Career Center,73618,36809
Roane Jackson Technical Center,73406,36703
Northern Tier Career Center,73110,36555
Florida Institute Of Ultrasound,73059,36530
Caribbean Forensic & Technical College,72934,36467
"Professional Hair Design Academy, The",72826,36413
Rabbi Jacob Joseph School,72804,36402
West Michigan College Of Barbering And Beauty,72745,36373
Colorado School Of Healing Arts,72624,36312
E C Goodwin Technical High School,72504,36252
Wayne'S College Of Beauty,72461,36231
Yahweh Beauty Academy,72253,36127
Northern Virginia School Of Therapeutic Massage,71989,35995
Mount Angel Seminary,71691,35846
B-Unique Beauty And Barber Academy,71620,35810
Evans Hairstyling College,71597,35799
Grace College Of Divinity,71597,35799
New York School Of Esthetics & Day Spa,71583,35792
Creative Hair School Of Cosmetology,71456,35728
Alaska Vocational Technical Center,71437,35719
Firelands Regional Medical Center,71365,35683
Advanced College,71329,35665
European Massage Therapy School  (The),71306,35653
Calvin Theological Seminary,71301,35651
Mandalyn Academy,71253,35627
Upmc Jameson School Of Nursing,71186,35593
Barrett & Company School Of Hair Design,70869,35435
San Diego Culinary Institute,70731,35366
University Academy Of Hair Design,70719,35360
Inland Massage Institute,70663,35332
Reformed University,70509,35255
New School Center For Media,70490,35245
International Baptist College And Seminary,70347,35174
Branford Academy Of Hair & Cosmetology,70305,35153
Enid Beauty College,70272,35136
Asi Career Institute,70108,35054
Brown Beauty Barber School,70098,35049
Ohio State School Of Cosmetology,70032,35016
Lindsey Institute Of Cosmetology,69690,34845
Carolina School Of Broadcasting,69411,34706
Precision Manufacturing Institute,69348,34674
Baton Rouge General Medical Center,69310,34655
Toledo Academy Of Beauty Culture - East,69228,34614
Hillsdale Beauty College,69128,34564
Mount Diablo Adult Education,68958,34479
Sharon Regional School Of Nursing,68940,34470
Kentucky Mountain Bible College,68799,34400
Hair Academy (The),68765,34383
Tri-Community Adult Education,68720,34360
Columbia Theological Seminary,68698,34349
Rabbinical College Of Telshe,68695,34348
Tricoci University Of Beauty Culture,68585,34293
Keweenaw Bay Ojibwa Community College,68566,34283
French Academy Of Cosmetology,68450,34225
Dermal Science International Aesthetics & Nail Academy,68341,34171
Arnold'S Beauty School,68240,34120
Delaware Learning Institute Of Cosmetology,68172,34086
Morris County School Of Technology,68148,34074
Bais Medrash Toras Chesed,68038,34019
Beauty Institute (The),67958,33979
Med Academy,67956,33978
Brown College Of Court Reporting,67945,33973
Setting The Standard Barbering And Natural Hair Academy,67932,33966
Academy Of Professional Cosmetology,67844,33922
Love Beauty School,67806,33903
Charleston Cosmetology Institute,67783,33892
Ibs School Of Cosmetology And Massage,67672,33836
Formations Institute Of Cosmetology & Barbering Llc,67651,33826
"Cosmetology Careers Unlimited College Of Hair, Skin, And Nails",67512,33756
California Beauty College,67420,33710
Pike Lincoln Technical Center,67332,33666
Inter American University Of Puerto Rico - School Of Optometry,66924,33462
Centralia Beauty College,66750,33375
Torah Temimah Talmudical Seminary,66694,33347
Bais Binyomin Academy,66331,33166
Mesivtha Tifereth Jerusalem Of America,66112,33056
Barber & Beauty Institute Of New York,66110,33055
Claremont School Of Theology,66104,33052
Salon Professional Academy (The),65719,32860
Concordia Theological Seminary,65681,32841
Center For Advanced Legal Studies,65587,32794
Forrest College,65558,32779
Totally Cosmo School Of Modern Cosmetology,65291,32646
Beauty Technical College,65203,32602
Orlo School Of Hair Design & Cosmetology (The),65152,32576
Alhambra Medical University,65078,32539
Beyond Measure Barbering Institute,65065,32533
Faust Institute Of Cosmetology,65010,32505
American Barber And Beauty Academy,64928,32464
Ponca City Beauty College,64850,32425
Robert Paul Academy Of Cosmetology Arts & Sciences,64827,32414
Academy For Careers And Technology,64795,32398
Yeshiva Gedolah Of Cliffwood,64764,32382
Wright Beauty Academy,64647,32324
Advanced Beauty College,64217,32109
International Beauty College #3,64097,32049
Commonwealth Institute Of Funeral Service,64090,32045
Yeshiva Bais Aharon,64039,32020
New Beginnings Beauty Academy,63880,31940
East West College Of Natural Medicine,63723,31862
Northwest School Of Wooden Boat Building,63564,31782
M.J. Murphy Beauty College,63536,31768
Pathway Vocational Academy,63239,31620
Pontifical College Josephinum,63175,31588
Salon Professional Academy (The),63166,31583
New England School Of Photography,62906,31453
Northwest Hvac/R Association & Training,62732,31366
Shear Learning Academy Of Cosmetology,62701,31351
Richmont Graduate University,62656,31328
Quality Technical & Beauty College,62586,31293
Saint Charles Borromeo Seminary,62584,31292
Lake Forest Graduate School Of Management,62548,31274
Capstone College,62462,31231
House Of Heavilin Beauty College,62404,31202
Advanced College Of Cosmetology,62265,31133
Concordia Seminary,61962,30981
Paul Mitchell The School Ardmore,61953,30977
Boston Baptist College,61817,30909
Baton Rouge School Of Computers,61790,30895
Women'S Institute Of Torah Seminary,61745,30873
Baldy View Regional Occupational Program,61625,30813
Tri County Regional Vocational Technical High School,61619,30810
Cayce/Reilly School Of Massage,61587,30794
University Of Fort Lauderdale,61344,30672
Grace Mission University,61227,30614
Prestige Health & Beauty Sciences Academy,61112,30556
Appalachian College Of Pharmacy,61104,30552
Headmasters School Of Hair Design,61086,30543
Creative Center (The),61073,30537
Mission Beauty Institute,61068,30534
Neighborhood Playhouse School Of The Theatre (The),60982,30491
Rabbinical College Of Yeshiva And Kolel Bais Medrosh Elyon Association,60982,30491
Eagle Rock College,60954,30477
Hair Academy The,60842,30421
Monmouth County Vocational School District,60651,30326
Don Roberts School Of Hair Design,60627,30314
Bitterroot School Of Cosmetology,60612,30306
Mister Wayne'S School Of Unisex Hair Design,60570,30285
